,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,Week
516,美國,魔鬼終結者：黑暗宿命,2019/11/7,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,472,0.00%,"50,140",379296,"87,665,469",20200113
25,美國,STAR WARS : 天行者的崛起,2019/12/18,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"15,959",-68.32%,"4,071,591",324331,"79,480,857",20200106
166,美國,決戰中途島,2019/11/8,台北?喜電影發行股份有限公司,"BONA FILM INVESTMENT COMPANY (PACIFIC RIM, USA)",3,35,-79.04%,"7,765",317984,"72,438,966",20200106
485,美國,賽道狂人,2019/11/26,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",43,"4,138",-59.59%,"1,127,464",314157,"76,514,740",20200106
164,美國,杜立德,2020/1/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,101,"141,378",27.42%,"33,995,357",290095,"60,935,325",20200127
282,日本,航海王：奪寶爭霸戰,2019/8/21,台北?喜電影發行股份有限公司,TOEI Animation Enterprises Limited,1,1,0.00%,420,224082,"54,057,373",20200106
524,美國,變身特務,2020/1/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"77,843",11.35%,"17,787,206",167411,"33,821,213",20200127
332,美國,深海終劫站,2020/1/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",92,"76,248",6.43%,"17,507,644",167027,"33,838,554",20200127
0,美國,1917,2020/1/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,99,"87,858",11.05%,"21,348,303",166977,"40,909,261",20200203
466,美國,鋒迴路轉,2019/11/28,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,24,"1,760",-67.67%,"412,264",165790,"38,171,540",20200106
316,美國,從前，有個好萊塢,2019/7/24,台北?喜電影發行股份有限公司,"Bona Film Investment Company (Pacific RIM, USA)",3,64,0.00%,"15,192",157726,"37,496,267",20200106
8,南韓,82年生的金智英,2019/11/22,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",18,"1,559",-61.28%,"361,755",138398,"32,238,994",20200106
491,美國,藍波:最後一滴血,2019/10/9,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",3,180,-64.77%,"11,845",126828,"27,758,466",20200106
126,美國,安眠醫生,2019/11/8,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,375,0.00%,"21,895",125235,"29,420,969",20200106
506,美國,霹靂嬌娃,2019/12/27,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,93,"20,688",-61.43%,"4,727,718",124727,"25,364,233",20200106
423,美國,弒婚遊戲,2019/10/9,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",5,191,-70.66%,"14,285",119345,"26,726,487",20200106
394,中華民國,陽光普照,2019/11/1,本地風光電影股份有限公司,本地風光電影股份有限公司##華文創股份有限公司##捌捌玖電影股份有限公司##鏡文學股份有限公司##聯聯看娛樂文化有限公司,5,319,-53.36%,"74,805",110417,"26,126,277",20200106
87,美國,去年聖誕節,2019/12/6,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,13,477,-80.18%,"119,958",94285,"22,218,375",20200106
206,美國,阿達一族,2019/11/1,高雄市電影館,Park Circus Limited,6,684,0.00%,"74,425",89368,"20,104,140",20200113
452,美國,憤怒鳥玩電影2：冰的啦！,2019/8/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,62,-61.01%,"4,960",88879,"19,636,631",20200106
174,美國,兔嘲男孩,2020/1/3,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",65,"25,771",46.25%,"6,022,947",86374,"11,724,767",20200106
343,美國,紳士追殺令,2020/1/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",65,"43,623",51.78%,"10,498,251",84559,"17,380,401",20200127
367,日本,普羅米亞,2019/8/16,中影股份有限公司,東寶株式會社,2,202,-50.73%,"67,095",76335,"21,018,001",20200106
249,美國,倒數計死,2019/12/27,采昌國際多媒體股份有限公司,"STX Productions, LLC",64,"14,385",-50.90%,"3,278,002",72602,"13,086,442",20200106
81,中華民國,出發,2019/5/31,牽猴子整合行銷股份有限公司,相知國際股份有限公司,1,109,0.00%,"21,255",69483,"15,451,386",20200106
124,美國,她們,2020/1/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,49,"29,447",33.76%,"7,039,958",67126,"12,251,761",20200127
228,美國,屍樂園：髒比雙拼,2019/10/9,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,97,-65.60%,"10,500",64046,"14,366,952",20200106
135,中華民國,你的情歌,2020/1/2,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,2,785,0.00%,"200,100",61590,"226,940",20200113
195,香港,肥龍過江,2020/1/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,94,"28,320",0.02%,"6,263,943",60341,"12,560,304",20200127
353,中華民國,陪你很久很久,2019/10/25,威視股份有限公司,嘉揚電影有限公司##海寧鐵幕真文化傳媒有限公司##滿滿額娛樂股份有限公司##中環國際娛樂事業股份有限公司##貴金影業傳媒股份有限公司##思美傳媒股份有限公司##海寧夢生影視文化傳媒有限公司##北京喔沃娛樂文化傳媒有限公司##薩摩亞商羚邦亞洲有限公司台灣分公司Medialink (Asia) Limited Taiwan Branch,2,159,0.00%,"8,350",57027,"12,935,691",20200106
404,中華民國,黑熊來了,2019/12/13,牽猴子整合行銷股份有限公司,大麥影像傳播工作室,28,"4,736",-48.25%,"1,122,109",51427,"10,003,148",20200106
15,美國,CATS 貓,2019/12/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,"4,268",-75.20%,"996,140",50402,"11,410,027",20200106
245,美國,重磅腥聞,2020/1/10,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,67,"21,855",4.53%,"5,081,968",49725,"9,927,712",20200113
